start	end	text
0	17800	So, last week we saw a little bit what is IonChannel, but today I want to go a bit more in detail,
17800	24680	so it will be easier for you to read the papers for next week and after next week.
24680	34920	So, and today I want to discuss about membrane potential, okay, so a few topics I want to discuss
34920	42960	is what is electrophysiology, what is cell membrane potential, capacitance, the IonChannel
42960	49720	structure and function, and how research or measure the IonChannel activity at a single
49720	61440	protein or at a whole cell level, okay. So, what is electrophysiology? You know, the
61440	72720	measurement of an electric inside the body? Yeah, inside the body also. Yeah, physiology is a function,
72720	81720	electric function in the life, in the living organism, okay. What kind of
81720	94000	electrophysiological techniques, you know, or you might heard about? Yeah, we put electrodes,
94000	100760	but more general, if you go to the, if you go to the medical school, or not medical school,
100760	113160	the hospital, yes. That's EEG? Yeah, yeah, EEG, Electroencephalogram, EEG, ECG, or EMG,
113160	124240	so electroencephalography, so you put electrodes on your skull and you measure the electric
124240	134160	current that are just generated by the neurons under the skull, okay. So, it's hard to study
134160	141880	to make diagnosis of epilepsy or any brain damage, or if you have sleep disorders, okay.
142600	149320	Researcher is also used for psychology of the brain and neuroscience of community physiology.
149320	160000	If I show you, I'm not specialist, so I don't know well, but this figure explains pretty well
160000	167840	the principle of electroencephalogram. A little bit small, but this is the brain's skull, okay,
168040	178160	the skin. Over the skin, you put an electrode with, that is, coupled with an amplifier and neurons,
178160	184080	you know that neurons fires actual potential, the little electric signal, so the electric
184080	193280	signal generates an electric field around and this electrode are sensitive enough to detect the
193280	200360	activity of neurons in the brain or at least in the outer layers of the brain, okay. So,
200360	213760	the researcher can record different electric signals and they record signals in function
213760	221560	of their frequency, so high frequency signals, a little bit lower, lower and very low frequency
221760	229600	signals, okay. And according to what I read, so these high frequency signals are during
229600	235280	perception, memorization, when you have attention, when you concentrate on something, when you are
235280	242880	doing activity, okay, motor cortex, active, you have also high frequency, when you have,
243880	253320	when you are sleeping or resting, you have much lower frequency waves, okay. So, according to
253320	261720	these waves, some are still controversial, so they don't know what they correspond to, okay. So,
261720	268960	according to the frequency and the signal, the medical doctor can say you have a problem here
269680	278560	or there is something, some condition here, okay. So, this kind of electro-electro-physiology
278560	286440	technique. Then another very famous electro-physiological technique is the electrocardiogram,
286440	295360	is to measure the electrical activity of the heart. So, you can see that in here, so you can
295360	301320	place an array of electrodes, so depending on the density of electrodes, so you can make a map
301320	308440	of the brain activity, okay. In this case here, they don't put so much electrodes, but the more
308440	318760	you put electrodes, the more precise you can make your mapping, okay. For, sorry, for the heart,
319680	326480	you only have 10 electrodes, you place them on your chest and limbs, okay, and then you record
326480	333480	this electric activity. So, there are oscillations of the electrical potential of the heart, okay. So,
333480	341000	in medical use is to detect the heart pathology, so you are still young, so you didn't do any ECG,
341440	349360	but you can get all of them to make ECG, and they are also using research to measure the
349360	356080	activity of the heart, and this is the kind of signal you can see. You record, maybe in the
356080	364640	movies, you can see what the patient is in the hospital, and then you have a table where you
364840	371360	see the signal. So, this signal reflects the electrical activity of the heart when it's beating
371360	379520	and pumping blood, okay. So, I'm not also a specialist, but yeah, you can recognize this signal,
379520	387480	which is quite specific, so this is where you place the electrodes, okay, and they correspond to
387480	399840	different areas of the heart contraction, okay, and the general, I'll say, signature pattern of the
399840	410240	heart is a small peak in here, which is called the P wave, and it corresponds to the atrial
410240	417640	depurization, so the heart is made of four chambers, atria, left and right, ventricle,
417640	425040	left and right, okay, and the electric signal of the heart is generated at the level of what is
425040	430560	called the sinoatrial node, and it's propagated to the septum, and then the ventricle, okay. So,
430560	435400	the first electric signal that you can detect is called the atrial depurization, the P wave,
435600	442880	okay, and the medical doctor measure the interval of this P wave, it's called the PQ interval,
442880	452800	okay, and if you have a change in this wave, so it might indicate a problem in your atria,
452800	462680	and then you have the QRS wave, which corresponds to the ventricular depurization,
462880	471840	so the ventricle is a large chamber, okay, it's a large chamber, and that's why it's the strongest
471840	479680	muscle of the heart, so that's why the signal is much bigger, okay, and then you have a third peak,
479680	489440	which corresponds to the ventricular depurization, okay, so this electrical signal corresponds to
489440	498160	the membrane depurization of each cardiomyoside here, and the depurization of each cardiomyoside
498160	506920	is generated by the activity of ion channels, and this is also the case in the brain, so these
506920	513000	waves that you can see is the electrical activity of each neuron, of several neurons together,
513000	519280	and each neuron can generate an action potential, so an electrical signal, and it's an electrical
519280	531200	signal is generated by the activity of ion channels, okay, so researcher will study precisely how ion
531200	538760	channels can generate these signals, okay, why they generate this signal, how they can shape
538760	548240	this signal, and one ion channel doesn't work alone, but they work, what to say, in cooperation
548280	557000	with other channels, so they can generate this kind of signal, okay, so when you study a little bit of
557000	567360	physiology, I think in your class in biology, so you study, for example, axol, and it's axol,
567360	575640	you have two types of ion channels that carry sodium and the other have potassium, I guess you
576040	583440	have to be using a textbook or in the class, and if you measure the membrane potential,
583440	595200	so the potential difference across the membrane, time, the second, voltage, in the revolt, okay,
595200	610760	you see that the membrane potential at rest is negative, and certainly you have a sharp increase
610760	619280	to the positive value, and a very fast decrease to the negative value, and goes under the resting
619280	627960	value, the overshot, and then slows the comeback to the resting value, resting potential, so we saw
627960	636400	last week that it took several hundred years to understand this, okay, by many researchers,
636400	644400	so this is a generic action potential generated by one neural, okay, and this is due to the
644400	651560	activity of two ion channels, one is for the sodium-voltage-gator channel, and the other one is
651560	662320	for the potassium-voltage-gator channel, so this means you have an influx of sodium, and this means
662320	671120	you have an efflux of potassium, so ions move across the plasma membrane, ions are carrying an
671120	677840	electrical charge, so the movement of charge across the plasma membrane generate an electrical
677840	687480	current, and this electrical current modifies the potential difference across the plasma membrane,
687480	696720	okay, so this means an influx, I will put an arrow going down, and this is an influx of potassium,
696720	709280	if you look at the heart, so you can see the deparization of the ventricle, and then the
709280	719640	reparization of the ventricle, and it takes a little bit more than half a second, or about 500
719640	729080	milliseconds, so if they must scale here, this is maybe around one or two milliseconds, so it's
729080	737920	very fast, but for the heart, the action potential is for a cardiomereocyte, the action potential
737920	747320	is a little bit different, there's a kind of plateau phase here, because for the heart, for
747320	756800	cardiomereocyte, more road shape cell, that will contract, so you will have a sharp deparization,
756800	764160	which is also due to the sodium influx, then you have a very short transient reparization,
764160	771280	it's also due to potassium, and then you have a more sustained phase, and this is due to another ion,
772280	782000	this ion is calcium, and you know the calcium ion, maybe you know or not, calcium ion is necessary for the signal
782000	792880	that enables the heart contraction, and then you will have the reparization, it's also due to the
793840	803760	efflux of potassium, and this is the range, it's around 100 into 500 into 800 milliseconds,
805760	813600	so you can see that in this case two ion channels, in this case three ion channels can shape a
813680	823840	different electric signal in a different set, so how come? This signal is very fast, this signal is very slow,
823840	836360	so maybe we can discuss today about it, so it's small, at least give the ECJ signal,
837120	854880	and this gives the signal, so from this the menical doctor can observe the electrocardiogram signal,
854880	862320	from this action potential the menical doctor can measure this electron cephalogram signal,
863280	872400	this signal is generated by a neuron, and with the help of just two ion channels,
873360	880000	that enables the passage of sodium inside the cell and the passage of potassium outside the cell
880640	890320	to generate the action potential, okay, and in this case here you have one, two, three channel,
890880	901280	and sodium influx, another one is potassium influx, and the third one is potassium influx, okay,
902720	913760	so they have to work in a tight manner and in good cooperation to generate a good signal,
913760	922640	and if you have a problem here or here, you might change the signal and then you have a pathological
922640	934160	condition, okay, so I would like you to understand what is this kind of small protein that can
934160	946960	generate such an important signal, okay, so before we enter the table about ion channels,
947280	970640	let's see what is the, how ions are distributed across plasma membrane, okay, so this difference
970640	976240	in ions, you can see this is the textbook picture, I forgot to put the difference,
977840	986880	it's important to remember that ions concentration across the plasma membrane, so inside the cell
986880	996320	and outside the cell is maintained different, so you can see that the sodium is much lower inside
996320	1003040	the cell than outside the cell, so in terms of millimolar, you have a lot of sodium outside the
1003040	1011040	cell and a few sodium inside the cell, potassium is the opposite, you have around 100 millimolar
1011040	1019200	potassium outside the cell, inside the cell and a lot of potassium, very small amount of potassium
1019200	1026400	outside the cell, the cell for the chloride and the cell for potassium, okay, so this concentration
1026960	1028000	difference is called
1033280	1034240	the concentration
1034240	1041760	is called the concentration
1045120	1045680	chemist
1049040	1049520	gradient
1054240	1061040	okay, so concentration gradient difference, okay, and this concentration gradient difference
1061360	1070880	because the ions are electrically charged, you can, they would generate
1072640	1079440	potential difference, so there is a charge separation between the inside and outside
1079440	1085200	and the inside of the cell is always slightly more negative than the outside of the cell,
1085920	1092480	so if you can shoot a ball of metal across the plasma membrane, you usually measure a negative
1092480	1099040	value in terms of potential, so it means that there are more positive charge outside than inside,
1099040	1105280	so the membrane, the plasma membrane acts as a charge separating system, okay,
1106240	1114320	and that's the same also across the membrane in the mitochondria or in the endoplasmic
1114320	1124720	reticulum, okay, so the the cell is actively, it's not a passive charge separation, it's a
1124720	1134880	very active charge separation, so how come that the cell can maintain this sodium and potassium
1134880	1145760	gradient, what enables the cell to keep this concentration gradient and it's called
1147840	1160480	electrochemical gradient, so electron because you have the charge separation and chemical
1160480	1167520	because you have electron concentration gradient, okay, and this gives a driving force for the
1167520	1184880	movement, it's called driving force, see, driving force is given the energy or at least the potential
1184880	1192240	for the ions to move because there is a lot, so if you make a small entry here, so the sodium
1192240	1198960	will flow inside the cell, if you make a small entry here or a small gate for the potassium,
1198960	1205280	the potassium will move out of the cell, okay, and it will be difficult for the potassium to come
1205360	1216880	inside the cell, okay, so that's make the driving force, so what is, is there anything
1217680	1228080	in the plasma membrane that enables to keep the sodium concentration gradient always like this,
1228880	1233680	do you know, so it's not a, it's not a channel, it's a
1238480	1246800	ah, yes I heard, yeah it's a pump, okay, so in the plasma membrane, of course you have a lot of
1246800	1254880	different proteins, you have receptors, anchors, and channels, but you have very important elements
1254960	1264160	that work better with the channel, it's called a pump, okay, what's the difference between a pump
1264160	1273520	and a channel, the channel doesn't use energy, yeah, it's used this electrochemical gradient
1273520	1281040	as a driving force for the movement of ions and the pump uses energy, okay, what kind of energy
1281040	1294560	you have in the cell, ATP, okay, so it uses the energy of ATP to pump ions, okay, so if you have a
1296400	1304400	lot of sodium outside and a few sodium inside, but you want to move the sodium outside
1304400	1311840	against the electrochemical gradient, it's very difficult, so that's why you use energy, so you
1311840	1321680	can always move out sodium in what we say against the chemical gradient, it's like if you have a
1321680	1328000	here a lot of people and you want to add more people, you need someone to push, to put the people
1328000	1339600	inside, okay, so that's the work of this pump is to pump out sodium, so it keeps
1340720	1347280	this concentration gradient alive, okay, so it's a very active
1349040	1353040	equilibrium, okay, so you have this pump, it's called
1353040	1373520	sodium, potassium, ATP, it's called, NHA, NHA, ATP, so it's more powerful than sodium,
1373520	1383440	but at the same time it can pump in potassium, okay, so the potassium moves inside the cell,
1383440	1391680	okay, against the concentration gradient that is opposite to the sodium, have you heard about
1392000	1400960	this NHA? So how many sodium does it pump out? Three, three and two, and how many potassium?
1400960	1411360	Two, two, okay, so what you can see from this, so you have three positive charge moving out,
1412320	1420080	and two positive charge moving in, so it means, so that contributes to the fact that
1421440	1428800	the cell is slightly more negative inside, then you have proteins and other ions that
1430000	1436640	makes that the cell is slightly more negative inside, okay, so this is very attractive for sodium
1436640	1442960	because you have the concentration gradient, negative is attractive for positive,
1447200	1453920	attractive, but if you have minus, minus plus plus, so it's repulsive, okay,
1458960	1465760	so that's why when you have the action potential, the first increase is due to the sodium,
1466720	1473120	and then because you have a lot of positive charge coming in, the potential change,
1474480	1480480	size, and this is very attractive for the potassium, so the potassium can move out, okay,
1480480	1494400	efficiently, okay, so this is the kind of power generator for the action potential,
1495360	1498080	okay, so it's very important to remember this,
1504240	1516560	so according to the value, if you take just one single ion difference, you can calculate
1517520	1527760	the equilibrium potential for each ion, so for this you use the
1530000	1539680	non-sequation, so there is a potential value where, so if you put a chemical gradient,
1539680	1549920	this will push the potassium out, if you put an electric potential across the membrane,
1549920	1556960	this will modulate the movement of potassium, so if outside is more positive, this will block
1556960	1565120	the movement of potassium outside, and if you reach a specific value, negative value, this will
1565200	1572960	reach an equilibrium of potassium going out and in, so that's the value, but that the movement
1573600	1588240	of potassium is zero, okay, so the net flux is zero, and this is the non-sequation, so r is the
1588320	1599440	gas constant, the constant, t is the temperature, z is the balance, f is the Faraday constant,
1599440	1608320	so you can always add one temperature, so it's the same, and it's depend on the concentration of,
1609600	1616960	for example, potassium outside and potassium inside, and this non-equation is using
1616960	1624720	electrophysiology of ion channel to calculate or to determine what is called the selectivity of
1624720	1633280	the channel, so using this equation you can determine if an ion channel is selected for potassium
1633920	1637680	or if it's selected for sodium or something else, okay,
1637920	1652240	so how the, how the resting potential is achieved in eating cells, I guess you have studied this,
1652240	1662080	but just as a reminder, so the two main ions for setting the resting potential is sodium and
1662080	1668160	potassium, you have other ions, but their concentration is much lower than sodium and
1668160	1675200	potassium, so that's why sodium and potassium are the major, well it's chloride, but chloride
1675920	1685120	less, are the major, how to say, ions that will set the membrane potential, so as I said the membrane
1685120	1695040	potential is negative, minus 60 millivolts to 80 millivolts, okay, and as you saw here the
1697600	1708640	equilibrium potential for just for potassium is minus 97 millivolts, in a physiological condition
1708640	1716720	the resting potential, the equilibrium potential for sodium will be the opposite,
1716720	1724240	would be very positive, so it means that sodium is the main contributor for the resting potential,
1724240	1736880	how come, you have the pump, sodium and two potations, so if you pump
1738000	1743840	constantly potassium, so you will feel the cell with potassium and you will empty
1744720	1753040	the cell of sodium, so what happens then the system stops, so how this pump can work always,
1755200	1761600	this pump will never stop working, why, it's not working either,
1765840	1776000	so potassium moves out, why, so the system can work continuously, so you have
1776880	1785200	a score of leak, you have channels that are called leak channels, they are always open,
1785840	1791440	they are in very small number, but they enable the potassium to move out, and you have also
1793840	1800880	leak channels for sodium, so the system is working, it's like if you have a boat,
1800880	1814400	but you have a hole and the water is flowing and then you have a guy here to the stop
1815920	1822640	moving out water, so it has to move out water so that water stays at the same level
1823600	1833840	and the boat will not sink, so even if we feel at equilibrium, so we feel very steady,
1834640	1842400	our cells are constantly working to keep the system at equilibrium, this is for the homeostasis,
1842640	1855200	homeostasis, maybe you have heard about this work, it's an equilibrium, it's a dynamic
1855200	1864640	equilibrium, the system to stay at the same level must be constantly dynamically working,
1865600	1875920	so the risk of potassium on this equilibrium, so around minus 8 or minus 60 enables the sodium
1878320	1887840	to stay at equilibrium and the membrane potential to stay negative, so here is the
1888080	1896160	so the potential of equilibrium at physiological concentration,
1896160	1906880	my 150 sodium 18 intracelular sodium is plus 56 for potassium, very negative for chloride,
1906880	1914160	also negative for calcium, very positive, okay, but if you measure the potential,
1914720	1921280	always quite negative, so more close to potassium chloride than sodium and
1924080	1931200	potassium, sodium and calcium, so you calculate this using for each ion you can calculate
1931200	1940080	individually the resting potential, okay, and then another equation is the Goldman
1950720	1957120	equation, okay, where you can add the equilibrium for each, the parameter for each
1961760	1970400	ions together to calculate the resting potential, and they add one parameter,
1970400	1976080	it's called the permeability for each ion, and the permeability for each ion is a little bit
1976080	1986640	different, so the permeability for potassium is one and the permeability for sodium is much lower,
1987280	1992720	the permeability for chloride is lower, so you have a ratio of the permeability,
1992720	2001200	and this enables you to calculate the resting potential at a specific temperature, okay,
2002720	2006880	so please try to keep in mind this equation,
2009200	2016320	specifically this equation, also this one, the permeability ratio, because you will see that
2016320	2022560	they are used in the paper, or they are used in the study of ion channels, and they are used in
2022560	2030400	the study specifically when you identify or when you crawl, if you are very lucky, you can find a
2030400	2039840	new channel, or you want to identify or characterize one channel, so if you use this equation to calculate
2039920	2053120	or to determine experimentally what channel cross the plasma membrane, okay,
2056720	2061600	so using the paper next week and after next week, especially after next week,
2061840	2073680	you will see that researchers can determine the selectivity of ion channels, okay, so
2075840	2084880	now let's, I made a simple slide to have a simple definition of an ion channel, okay,
2085440	2094160	so an ion channel is a membrane protein, so it's embedded in the bilayer,
2095680	2101360	and it would form a pore in biological membrane, not only the plasma membrane,
2101360	2112320	but it can also be interested in membrane, okay, so it's mainly form of alpha helix that contains
2115680	2124480	hydrophobic amino acids, and within the structure, they will form kind of
2127120	2136880	kind of water feed pore, okay, so water or ions can enter here, okay, so they form a pore in
2136880	2144000	bio which can membrane, and ions can pass through the pore along the electrochemical gradient,
2144000	2151280	okay, so if the channel open, the ions will move from the highly concentrated
2152640	2160800	space to the less concentrated space, but also driven by the potential, so if the potential
2160800	2166880	here is negative, so the driving force, the movement of ion will be easier, if it's here,
2166880	2173200	it's positive, then maybe the ions will not be able to pass, okay, and the pore is called selective
2174720	2181120	for the ion species, so selective for potassium, selective for sodium, for chloride, for calcium,
2181120	2187520	or less active, so it let pass the cation, okay, so the term selectivity is important,
2189040	2194320	we need to know if the channel is selective or not, and then there is another important term,
2194320	2200800	is the gating, it's how it's open and closed, to the gating of the channel is regulated by the
2200800	2207200	physiological environment, pH, pressure, membrane potential, temperature, photon, whatever,
2208320	2216080	and in the human genome, almost 400, but maybe between 350 and 400 genes
2216960	2223280	encode for ion channels, of course in other species or in plants, you have also different
2223280	2230400	type of ion channel, and what is important, they have a specific pharmacology, okay, so you have
2230400	2236320	compound that can bind and block or open the channel, and they are used by the pharma industry,
2238960	2248000	because they are involving very specific pathologies, so in the heart you have calcium
2248000	2256560	channel blockers, as used as a cure for hypertension or other heart disease, and in the brain they can
